minute,id,name,TotalCount,UnavailableSpace,AvailableSpace
1,100,A区（报刊218）,136,49,87
1,101,B区（报刊222）,152,82,70
1,113,C区(新书借阅区),4,4,0
4,100,A区（报刊218）,136,50,86
4,101,B区（报刊222）,152,83,69
4,113,C区(新书借阅区),4,4,0
5,100,A区（报刊218）,136,51,85
5,101,B区（报刊222）,152,84,68
5,113,C区(新书借阅区),4,4,0
7,100,A区（报刊218）,136,52,84
7,101,B区（报刊222）,152,84,68
7,113,C区(新书借阅区),4,4,0
9,100,A区（报刊218）,136,53,83
9,101,B区（报刊222）,152,82,70
9,113,C区(新书借阅区),4,4,0
11,100,A区（报刊218）,136,54,82
11,101,B区（报刊222）,152,82,70
11,113,C区(新书借阅区),4,4,0
13,100,A区（报刊218）,136,54,82
13,101,B区（报刊222）,152,82,70
13,113,C区(新书借阅区),4,4,0
15,100,A区（报刊218）,136,54,82
15,101,B区（报刊222）,152,82,70
15,113,C区(新书借阅区),4,4,0
17,100,A区（报刊218）,136,54,82
17,101,B区（报刊222）,152,84,68
17,113,C区(新书借阅区),4,4,0
19,100,A区（报刊218）,136,55,81
19,101,B区（报刊222）,152,86,66
19,113,C区(新书借阅区),4,4,0
21,100,A区（报刊218）,136,56,80
21,101,B区（报刊222）,152,89,63
21,113,C区(新书借阅区),4,4,0
23,100,A区（报刊218）,136,57,79
23,101,B区（报刊222）,152,90,62
23,113,C区(新书借阅区),4,4,0
25,100,A区（报刊218）,136,58,78
25,101,B区（报刊222）,152,90,62
25,113,C区(新书借阅区),4,4,0
27,100,A区（报刊218）,136,59,77
27,101,B区（报刊222）,152,89,63
27,113,C区(新书借阅区),4,4,0
29,100,A区（报刊218）,136,60,76
29,101,B区（报刊222）,152,90,62
29,113,C区(新书借阅区),4,4,0
31,100,A区（报刊218）,136,60,76
31,101,B区（报刊222）,152,87,65
31,113,C区(新书借阅区),4,3,1
33,100,A区（报刊218）,136,61,75
33,101,B区（报刊222）,152,89,63
33,113,C区(新书借阅区),4,3,1
35,100,A区（报刊218）,136,64,72
35,101,B区（报刊222）,152,90,62
35,113,C区(新书借阅区),4,3,1
37,100,A区（报刊218）,136,64,72
37,101,B区（报刊222）,152,92,60
37,113,C区(新书借阅区),4,3,1
39,100,A区（报刊218）,136,64,72
39,101,B区（报刊222）,152,92,60
39,113,C区(新书借阅区),4,3,1
41,100,A区（报刊218）,136,64,72
41,101,B区（报刊222）,152,92,60
41,113,C区(新书借阅区),4,3,1
43,100,A区（报刊218）,136,64,72
43,101,B区（报刊222）,152,92,60
43,113,C区(新书借阅区),4,3,1
45,100,A区（报刊218）,136,65,71
45,101,B区（报刊222）,152,92,60
45,113,C区(新书借阅区),4,3,1
47,100,A区（报刊218）,136,70,66
47,101,B区（报刊222）,152,93,59
47,113,C区(新书借阅区),4,3,1
49,100,A区（报刊218）,136,70,66
49,101,B区（报刊222）,152,96,56
49,113,C区(新书借阅区),4,3,1
51,100,A区（报刊218）,136,70,66
51,101,B区（报刊222）,152,96,56
51,113,C区(新书借阅区),4,3,1
53,100,A区（报刊218）,136,70,66
53,101,B区（报刊222）,152,97,55
53,113,C区(新书借阅区),4,4,0
55,100,A区（报刊218）,136,71,65
55,101,B区（报刊222）,152,98,54
55,113,C区(新书借阅区),4,3,1
57,100,A区（报刊218）,136,71,65
57,101,B区（报刊222）,152,100,52
57,113,C区(新书借阅区),4,3,1
59,100,A区（报刊218）,136,72,64
59,101,B区（报刊222）,152,100,52
59,113,C区(新书借阅区),4,3,1
61,100,A区（报刊218）,136,73,63
61,101,B区（报刊222）,152,101,51
61,113,C区(新书借阅区),4,3,1
63,100,A区（报刊218）,136,74,62
63,101,B区（报刊222）,152,103,49
63,113,C区(新书借阅区),4,3,1
65,100,A区（报刊218）,136,76,60
65,101,B区（报刊222）,152,104,48
65,113,C区(新书借阅区),4,3,1
67,100,A区（报刊218）,136,79,57
67,101,B区（报刊222）,152,105,47
67,113,C区(新书借阅区),4,3,1
69,100,A区（报刊218）,136,82,54
69,101,B区（报刊222）,152,105,47
69,113,C区(新书借阅区),4,3,1
71,100,A区（报刊218）,136,84,52
71,101,B区（报刊222）,152,107,45
71,113,C区(新书借阅区),4,3,1
73,100,A区（报刊218）,136,85,51
73,101,B区（报刊222）,152,109,43
73,113,C区(新书借阅区),4,3,1
