minute,id,name,TotalCount,UnavailableSpace,AvailableSpace
72,100,A区（报刊218）,136,22,114
72,101,B区（报刊222）,152,46,106
72,113,C区(新书借阅区),4,0,4
148,100,A区（报刊218）,136,39,97
148,101,B区（报刊222）,152,71,81
148,113,C区(新书借阅区),4,0,4
234,100,A区（报刊218）,136,45,91
234,101,B区（报刊222）,152,79,73
234,113,C区(新书借阅区),4,0,4
280,100,A区（报刊218）,136,46,90
280,101,B区（报刊222）,152,90,62
280,113,C区(新书借阅区),4,0,4
305,100,A区（报刊218）,136,49,87
305,101,B区（报刊222）,152,92,60
305,113,C区(新书借阅区),4,0,4
341,100,A区（报刊218）,136,54,82
341,101,B区（报刊222）,152,96,56
341,113,C区(新书借阅区),4,0,4
358,100,A区（报刊218）,136,57,79
358,101,B区（报刊222）,152,99,53
358,113,C区(新书借阅区),4,0,4
406,100,A区（报刊218）,136,65,71
406,101,B区（报刊222）,152,112,40
406,113,C区(新书借阅区),4,0,4
426,100,A区（报刊218）,136,67,69
426,101,B区（报刊222）,152,114,38
426,113,C区(新书借阅区),4,0,4
458,100,A区（报刊218）,136,74,62
458,101,B区（报刊222）,152,112,40
458,113,C区(新书借阅区),4,0,4
474,100,A区（报刊218）,136,78,58
474,101,B区（报刊222）,152,113,39
474,113,C区(新书借阅区),4,0,4
507,100,A区（报刊218）,136,82,54
507,101,B区（报刊222）,152,116,36
507,113,C区(新书借阅区),4,0,4
537,100,A区（报刊218）,136,80,56
537,101,B区（报刊222）,152,115,37
537,113,C区(新书借阅区),4,0,4
575,100,A区（报刊218）,136,78,58
575,101,B区（报刊222）,152,113,39
575,113,C区(新书借阅区),4,0,4
595,100,A区（报刊218）,136,75,61
595,101,B区（报刊222）,152,108,44
595,113,C区(新书借阅区),4,0,4
626,100,A区（报刊218）,136,73,63
626,101,B区（报刊222）,152,101,51
626,113,C区(新书借阅区),4,0,4
653,100,A区（报刊218）,136,69,67
653,101,B区（报刊222）,152,101,51
653,113,C区(新书借阅区),4,0,4
676,100,A区（报刊218）,136,67,69
676,101,B区（报刊222）,152,96,56
676,113,C区(新书借阅区),4,0,4
698,100,A区（报刊218）,136,62,74
698,101,B区（报刊222）,152,95,57
698,113,C区(新书借阅区),4,0,4
713,100,A区（报刊218）,136,63,73
713,101,B区（报刊222）,152,93,59
713,113,C区(新书借阅区),4,0,4
754,100,A区（报刊218）,136,58,78
754,101,B区（报刊222）,152,90,62
754,113,C区(新书借阅区),4,0,4
806,100,A区（报刊218）,136,45,91
806,101,B区（报刊222）,152,75,77
806,113,C区(新书借阅区),4,0,4
838,100,A区（报刊218）,136,30,106
838,101,B区（报刊222）,152,49,103
838,113,C区(新书借阅区),4,0,4
1424,100,A区（报刊218）,136,10,126
1424,101,B区（报刊222）,152,12,140
1424,113,C区(新书借阅区),4,0,4
