minute,id,name,TotalCount,UnavailableSpace,AvailableSpace
3,100,A区（报刊218）,136,9,127
3,101,B区（报刊222）,152,18,134
3,113,C区(新书借阅区),4,0,4
157,100,A区（报刊218）,136,53,83
157,101,B区（报刊222）,152,76,76
157,113,C区(新书借阅区),4,0,4
242,100,A区（报刊218）,136,54,82
242,101,B区（报刊222）,152,81,71
242,113,C区(新书借阅区),4,0,4
292,100,A区（报刊218）,136,59,77
292,101,B区（报刊222）,152,88,64
292,113,C区(新书借阅区),4,0,4
319,100,A区（报刊218）,136,64,72
319,101,B区（报刊222）,152,96,56
319,113,C区(新书借阅区),4,0,4
346,100,A区（报刊218）,136,69,67
346,101,B区（报刊222）,152,102,50
346,113,C区(新书借阅区),4,0,4
359,100,A区（报刊218）,136,71,65
359,101,B区（报刊222）,152,106,46
359,113,C区(新书借阅区),4,0,4
405,100,A区（报刊218）,136,88,48
405,101,B区（报刊222）,152,119,33
405,113,C区(新书借阅区),4,0,4
423,100,A区（报刊218）,136,94,42
423,101,B区（报刊222）,152,119,33
423,113,C区(新书借阅区),4,0,4
453,100,A区（报刊218）,136,93,43
453,101,B区（报刊222）,152,126,26
453,113,C区(新书借阅区),4,0,4
468,100,A区（报刊218）,136,92,44
468,101,B区（报刊222）,152,127,25
468,113,C区(新书借阅区),4,0,4
480,100,A区（报刊218）,136,93,43
480,101,B区（报刊222）,152,127,25
480,113,C区(新书借阅区),4,0,4
520,100,A区（报刊218）,136,93,43
520,101,B区（报刊222）,152,128,24
520,113,C区(新书借阅区),4,0,4
541,100,A区（报刊218）,136,92,44
541,101,B区（报刊222）,152,124,28
541,113,C区(新书借阅区),4,0,4
574,100,A区（报刊218）,136,86,50
574,101,B区（报刊222）,152,115,37
574,113,C区(新书借阅区),4,0,4
589,100,A区（报刊218）,136,85,51
589,101,B区（报刊222）,152,116,36
589,113,C区(新书借阅区),4,0,4
601,100,A区（报刊218）,136,81,55
601,101,B区（报刊222）,152,112,40
601,113,C区(新书借阅区),4,0,4
636,100,A区（报刊218）,136,79,57
636,101,B区（报刊222）,152,106,46
636,113,C区(新书借阅区),4,0,4
653,100,A区（报刊218）,136,76,60
653,101,B区（报刊222）,152,107,45
653,113,C区(新书借阅区),4,0,4
674,100,A区（报刊218）,136,73,63
674,101,B区（报刊222）,152,105,47
674,113,C区(新书借阅区),4,0,4
693,100,A区（报刊218）,136,74,62
693,101,B区（报刊222）,152,106,46
693,113,C区(新书借阅区),4,0,4
707,100,A区（报刊218）,136,72,64
707,101,B区（报刊222）,152,104,48
707,113,C区(新书借阅区),4,0,4
