minute,id,name,TotalCount,UnavailableSpace,AvailableSpace
0,100,A区（报刊218）,136,28,108
0,101,B区（报刊222）,152,59,93
0,113,C区(新书借阅区),4,0,4
135,100,A区（报刊218）,136,76,60
135,101,B区（报刊222）,152,124,28
135,113,C区(新书借阅区),4,0,4
222,100,A区（报刊218）,136,84,52
222,101,B区（报刊222）,152,132,20
222,113,C区(新书借阅区),4,0,4
264,100,A区（报刊218）,136,89,47
264,101,B区（报刊222）,152,130,22
264,113,C区(新书借阅区),4,0,4
294,100,A区（报刊218）,136,93,43
294,101,B区（报刊222）,152,130,22
294,113,C区(新书借阅区),4,0,4
323,100,A区（报刊218）,136,94,42
323,101,B区（报刊222）,152,135,17
323,113,C区(新书借阅区),4,0,4
346,100,A区（报刊218）,136,93,43
346,101,B区（报刊222）,152,138,14
346,113,C区(新书借阅区),4,0,4
359,100,A区（报刊218）,136,94,42
359,101,B区（报刊222）,152,141,11
359,113,C区(新书借阅区),4,0,4
