minute,id,name,TotalCount,UnavailableSpace,AvailableSpace
6,100,A区（报刊218）,136,35,101
6,101,B区（报刊222）,152,79,73
6,113,C区(新书借阅区),4,0,4
12,100,A区（报刊218）,136,40,96
12,101,B区（报刊222）,152,78,74
12,113,C区(新书借阅区),4,0,4
17,100,A区（报刊218）,136,41,95
17,101,B区（报刊222）,152,81,71
17,113,C区(新书借阅区),4,0,4
23,100,A区（报刊218）,136,40,96
23,101,B区（报刊222）,152,85,67
23,113,C区(新书借阅区),4,0,4
29,100,A区（报刊218）,136,43,93
29,101,B区（报刊222）,152,87,65
29,113,C区(新书借阅区),4,0,4
35,100,A区（报刊218）,136,48,88
35,101,B区（报刊222）,152,87,65
35,113,C区(新书借阅区),4,0,4
41,100,A区（报刊218）,136,52,84
41,101,B区（报刊222）,152,89,63
41,113,C区(新书借阅区),4,0,4
48,100,A区（报刊218）,136,58,78
48,101,B区（报刊222）,152,98,54
48,113,C区(新书借阅区),4,0,4
54,100,A区（报刊218）,136,62,74
54,101,B区（报刊222）,152,103,49
54,113,C区(新书借阅区),4,0,4
60,100,A区（报刊218）,136,64,72
60,101,B区（报刊222）,152,106,46
60,113,C区(新书借阅区),4,0,4
66,100,A区（报刊218）,136,68,68
66,101,B区（报刊222）,152,112,40
66,113,C区(新书借阅区),4,0,4
72,100,A区（报刊218）,136,73,63
72,101,B区（报刊222）,152,115,37
72,113,C区(新书借阅区),4,0,4
77,100,A区（报刊218）,136,76,60
77,101,B区（报刊222）,152,120,32
77,113,C区(新书借阅区),4,0,4
83,100,A区（报刊218）,136,79,57
83,101,B区（报刊222）,152,126,26
83,113,C区(新书借阅区),4,0,4
89,100,A区（报刊218）,136,80,56
89,101,B区（报刊222）,152,129,23
89,113,C区(新书借阅区),4,0,4
95,100,A区（报刊218）,136,82,54
95,101,B区（报刊222）,152,131,21
95,113,C区(新书借阅区),4,0,4
102,100,A区（报刊218）,136,83,53
102,101,B区（报刊222）,152,134,18
102,113,C区(新书借阅区),4,0,4
108,100,A区（报刊218）,136,86,50
108,101,B区（报刊222）,152,135,17
108,113,C区(新书借阅区),4,0,4
113,100,A区（报刊218）,136,87,49
113,101,B区（报刊222）,152,136,16
113,113,C区(新书借阅区),4,0,4
119,100,A区（报刊218）,136,89,47
119,101,B区（报刊222）,152,137,15
119,113,C区(新书借阅区),4,0,4
125,100,A区（报刊218）,136,89,47
125,101,B区（报刊222）,152,139,13
125,113,C区(新书借阅区),4,0,4
131,100,A区（报刊218）,136,90,46
131,101,B区（报刊222）,152,140,12
131,113,C区(新书借阅区),4,0,4
136,100,A区（报刊218）,136,93,43
136,101,B区（报刊222）,152,142,10
136,113,C区(新书借阅区),4,0,4
142,100,A区（报刊218）,136,93,43
142,101,B区（报刊222）,152,143,9
142,113,C区(新书借阅区),4,0,4
146,100,A区（报刊218）,136,93,43
146,101,B区（报刊222）,152,145,7
146,113,C区(新书借阅区),4,0,4
152,100,A区（报刊218）,136,93,43
152,101,B区（报刊222）,152,145,7
152,113,C区(新书借阅区),4,0,4
157,100,A区（报刊218）,136,93,43
157,101,B区（报刊222）,152,144,8
157,113,C区(新书借阅区),4,0,4
163,100,A区（报刊218）,136,93,43
163,101,B区（报刊222）,152,146,6
163,113,C区(新书借阅区),4,0,4
