minute,id,name,TotalCount,UnavailableSpace,AvailableSpace
2,100,A区（报刊218）,136,38,98
2,101,B区（报刊222）,152,74,78
2,113,C区(新书借阅区),4,3,1
6,100,A区（报刊218）,136,39,97
6,101,B区（报刊222）,152,74,78
6,113,C区(新书借阅区),4,3,1
10,100,A区（报刊218）,136,41,95
10,101,B区（报刊222）,152,74,78
10,113,C区(新书借阅区),4,3,1
15,100,A区（报刊218）,136,42,94
15,101,B区（报刊222）,152,75,77
15,113,C区(新书借阅区),4,3,1
19,100,A区（报刊218）,136,44,92
19,101,B区（报刊222）,152,76,76
19,113,C区(新书借阅区),4,3,1
23,100,A区（报刊218）,136,45,91
23,101,B区（报刊222）,152,73,79
23,113,C区(新书借阅区),4,3,1
28,100,A区（报刊218）,136,48,88
28,101,B区（报刊222）,152,78,74
28,113,C区(新书借阅区),4,3,1
30,100,A区（报刊218）,136,50,86
30,101,B区（报刊222）,152,78,74
30,113,C区(新书借阅区),4,3,1
34,100,A区（报刊218）,136,49,87
34,101,B区（报刊222）,152,79,73
34,113,C区(新书借阅区),4,4,0
