minute,id,name,TotalCount,UnavailableSpace,AvailableSpace
4,100,A区（报刊218）,136,27,109
4,101,B区（报刊222）,152,83,69
4,113,C区(新书借阅区),4,0,4
11,100,A区（报刊218）,136,29,107
11,101,B区（报刊222）,152,84,68
11,113,C区(新书借阅区),4,0,4
17,100,A区（报刊218）,136,39,97
17,101,B区（报刊222）,152,89,63
17,113,C区(新书借阅区),4,0,4
23,100,A区（报刊218）,136,47,89
23,101,B区（报刊222）,152,90,62
23,113,C区(新书借阅区),4,0,4
29,100,A区（报刊218）,136,48,88
29,101,B区（报刊222）,152,93,59
29,113,C区(新书借阅区),4,0,4
36,100,A区（报刊218）,136,52,84
36,101,B区（报刊222）,152,93,59
36,113,C区(新书借阅区),4,0,4
43,100,A区（报刊218）,136,55,81
43,101,B区（报刊222）,152,95,57
43,113,C区(新书借阅区),4,0,4
49,100,A区（报刊218）,136,60,76
49,101,B区（报刊222）,152,98,54
49,113,C区(新书借阅区),4,0,4
56,100,A区（报刊218）,136,60,76
56,101,B区（报刊222）,152,102,50
56,113,C区(新书借阅区),4,0,4
63,100,A区（报刊218）,136,63,73
63,101,B区（报刊222）,152,107,45
63,113,C区(新书借阅区),4,0,4
70,100,A区（报刊218）,136,69,67
70,101,B区（报刊222）,152,111,41
70,113,C区(新书借阅区),4,0,4
76,100,A区（报刊218）,136,72,64
76,101,B区（报刊222）,152,112,40
76,113,C区(新书借阅区),4,0,4
82,100,A区（报刊218）,136,75,61
82,101,B区（报刊222）,152,115,37
82,113,C区(新书借阅区),4,0,4
89,100,A区（报刊218）,136,81,55
89,101,B区（报刊222）,152,117,35
89,113,C区(新书借阅区),4,0,4
95,100,A区（报刊218）,136,84,52
95,101,B区（报刊222）,152,117,35
95,113,C区(新书借阅区),4,0,4
102,100,A区（报刊218）,136,84,52
102,101,B区（报刊222）,152,120,32
102,113,C区(新书借阅区),4,0,4
109,100,A区（报刊218）,136,86,50
109,101,B区（报刊222）,152,122,30
109,113,C区(新书借阅区),4,0,4
116,100,A区（报刊218）,136,86,50
116,101,B区（报刊222）,152,126,26
116,113,C区(新书借阅区),4,0,4
