minute,id,name,TotalCount,UnavailableSpace,AvailableSpace
3,100,A区（报刊218）,136,12,124
3,101,B区（报刊222）,152,20,132
3,113,C区(新书借阅区),4,0,4
144,100,A区（报刊218）,136,35,101
144,101,B区（报刊222）,152,72,80
144,113,C区(新书借阅区),4,0,4
229,100,A区（报刊218）,136,33,103
229,101,B区（报刊222）,152,81,71
229,113,C区(新书借阅区),4,0,4
269,100,A区（报刊218）,136,36,100
269,101,B区（报刊222）,152,82,70
269,113,C区(新书借阅区),4,0,4
302,100,A区（报刊218）,136,38,98
302,101,B区（报刊222）,152,86,66
302,113,C区(新书借阅区),4,0,4
338,100,A区（报刊218）,136,40,96
338,101,B区（报刊222）,152,87,65
338,113,C区(新书借阅区),4,0,4
356,100,A区（报刊218）,136,43,93
356,101,B区（报刊222）,152,91,61
356,113,C区(新书借阅区),4,0,4
