minute,id,name,TotalCount,UnavailableSpace,AvailableSpace
3,100,A区（报刊218）,136,12,124
3,101,B区（报刊222）,152,22,130
3,113,C区(新书借阅区),4,0,4
160,100,A区（报刊218）,136,51,85
160,101,B区（报刊222）,152,91,61
160,113,C区(新书借阅区),4,0,4
246,100,A区（报刊218）,136,56,80
246,101,B区（报刊222）,152,106,46
246,113,C区(新书借阅区),4,0,4
298,100,A区（报刊218）,136,60,76
298,101,B区（报刊222）,152,117,35
298,113,C区(新书借阅区),4,0,4
334,100,A区（报刊218）,136,75,61
334,101,B区（报刊222）,152,130,22
334,113,C区(新书借阅区),4,0,4
355,100,A区（报刊218）,136,77,59
355,101,B区（报刊222）,152,134,18
355,113,C区(新书借阅区),4,0,4
393,100,A区（报刊218）,136,93,43
393,101,B区（报刊222）,152,146,6
393,113,C区(新书借阅区),4,0,4
420,100,A区（报刊218）,136,98,38
420,101,B区（报刊222）,152,150,2
420,113,C区(新书借阅区),4,0,4
451,100,A区（报刊218）,136,103,33
451,101,B区（报刊222）,152,152,0
451,113,C区(新书借阅区),4,0,4
468,100,A区（报刊218）,136,106,30
468,101,B区（报刊222）,152,150,2
468,113,C区(新书借阅区),4,0,4
480,100,A区（报刊218）,136,106,30
480,101,B区（报刊222）,152,152,0
480,113,C区(新书借阅区),4,0,4
520,100,A区（报刊218）,136,108,28
520,101,B区（报刊222）,152,152,0
520,113,C区(新书借阅区),4,0,4
539,100,A区（报刊218）,136,107,29
539,101,B区（报刊222）,152,149,3
539,113,C区(新书借阅区),4,0,4
572,100,A区（报刊218）,136,101,35
572,101,B区（报刊222）,152,146,6
572,113,C区(新书借阅区),4,0,4
589,100,A区（报刊218）,136,98,38
589,101,B区（报刊222）,152,143,9
589,113,C区(新书借阅区),4,0,4
604,100,A区（报刊218）,136,96,40
604,101,B区（报刊222）,152,136,16
604,113,C区(新书借阅区),4,0,4
635,100,A区（报刊218）,136,94,42
635,101,B区（报刊222）,152,134,18
635,113,C区(新书借阅区),4,0,4
653,100,A区（报刊218）,136,93,43
653,101,B区（报刊222）,152,133,19
653,113,C区(新书借阅区),4,0,4
676,100,A区（报刊218）,136,89,47
676,101,B区（报刊222）,152,131,21
676,113,C区(新书借阅区),4,0,4
695,100,A区（报刊218）,136,89,47
695,101,B区（报刊222）,152,128,24
695,113,C区(新书借阅区),4,0,4
707,100,A区（报刊218）,136,90,46
707,101,B区（报刊222）,152,129,23
707,113,C区(新书借阅区),4,0,4
720,100,A区（报刊218）,136,86,50
720,101,B区（报刊222）,152,127,25
720,113,C区(新书借阅区),4,0,4
781,100,A区（报刊218）,136,73,63
781,101,B区（报刊222）,152,118,34
781,113,C区(新书借阅区),4,0,4
819,100,A区（报刊218）,136,49,87
819,101,B区（报刊222）,152,95,57
819,113,C区(新书借阅区),4,0,4
836,100,A区（报刊218）,136,37,99
836,101,B区（报刊222）,152,71,81
836,113,C区(新书借阅区),4,0,4
1423,100,A区（报刊218）,136,11,125
1423,101,B区（报刊222）,152,19,133
1423,113,C区(新书借阅区),4,0,4
