minute,id,name,TotalCount,UnavailableSpace,AvailableSpace
67,100,A区（报刊218）,136,29,107
67,101,B区（报刊222）,152,47,105
67,113,C区(新书借阅区),4,0,4
169,100,A区（报刊218）,136,47,89
169,101,B区（报刊222）,152,87,65
169,113,C区(新书借阅区),4,0,4
269,100,A区（报刊218）,136,46,90
269,101,B区（报刊222）,152,97,55
269,113,C区(新书借阅区),4,0,4
336,100,A区（报刊218）,136,59,77
336,101,B区（报刊222）,152,118,34
336,113,C区(新书借阅区),4,0,4
390,100,A区（报刊218）,136,69,67
390,101,B区（报刊222）,152,125,27
390,113,C区(新书借阅区),4,0,4
446,100,A区（报刊218）,136,85,51
446,101,B区（报刊222）,152,129,23
446,113,C区(新书借阅区),4,0,4
478,100,A区（报刊218）,136,90,46
478,101,B区（报刊222）,152,129,23
478,113,C区(新书借阅区),4,0,4
526,100,A区（报刊218）,136,92,44
526,101,B区（报刊222）,152,129,23
526,113,C区(新书借阅区),4,0,4
561,100,A区（报刊218）,136,87,49
561,101,B区（报刊222）,152,126,26
561,113,C区(新书借阅区),4,0,4
596,100,A区（报刊218）,136,76,60
596,101,B区（报刊222）,152,118,34
596,113,C区(新书借阅区),4,0,4
