minute,id,name,TotalCount,UnavailableSpace,AvailableSpace
3,100,A区（报刊218）,136,8,128
3,101,B区（报刊222）,152,8,144
3,113,C区(新书借阅区),4,0,4
200,100,A区（报刊218）,136,8,128
200,101,B区（报刊222）,152,8,144
200,113,C区(新书借阅区),4,0,4
308,100,A区（报刊218）,136,8,128
308,101,B区（报刊222）,152,8,144
308,113,C区(新书借阅区),4,0,4
371,100,A区（报刊218）,136,8,128
371,101,B区（报刊222）,152,8,144
371,113,C区(新书借阅区),4,0,4
431,100,A区（报刊218）,136,8,128
431,101,B区（报刊222）,152,8,144
431,113,C区(新书借阅区),4,0,4
473,100,A区（报刊218）,136,8,128
473,101,B区（报刊222）,152,8,144
473,113,C区(新书借阅区),4,0,4
507,100,A区（报刊218）,136,8,128
507,101,B区（报刊222）,152,8,144
507,113,C区(新书借阅区),4,0,4
541,100,A区（报刊218）,136,8,128
541,101,B区（报刊222）,152,8,144
541,113,C区(新书借阅区),4,0,4
