minute,id,name,TotalCount,UnavailableSpace,AvailableSpace
1,100,A区（报刊218）,136,24,112
1,101,B区（报刊222）,152,65,87
1,113,C区(新书借阅区),4,3,1
3,100,A区（报刊218）,136,24,112
3,101,B区（报刊222）,152,65,87
3,113,C区(新书借阅区),4,3,1
5,100,A区（报刊218）,136,24,112
5,101,B区（报刊222）,152,65,87
5,113,C区(新书借阅区),4,3,1
7,100,A区（报刊218）,136,27,109
7,101,B区（报刊222）,152,65,87
7,113,C区(新书借阅区),4,3,1
9,100,A区（报刊218）,136,28,108
9,101,B区（报刊222）,152,65,87
9,113,C区(新书借阅区),4,3,1
11,100,A区（报刊218）,136,29,107
11,101,B区（报刊222）,152,66,86
11,113,C区(新书借阅区),4,3,1
13,100,A区（报刊218）,136,30,106
13,101,B区（报刊222）,152,65,87
13,113,C区(新书借阅区),4,3,1
15,100,A区（报刊218）,136,29,107
15,101,B区（报刊222）,152,66,86
15,113,C区(新书借阅区),4,3,1
17,100,A区（报刊218）,136,31,105
17,101,B区（报刊222）,152,67,85
17,113,C区(新书借阅区),4,3,1
19,100,A区（报刊218）,136,31,105
19,101,B区（报刊222）,152,68,84
19,113,C区(新书借阅区),4,3,1
21,100,A区（报刊218）,136,32,104
21,101,B区（报刊222）,152,67,85
21,113,C区(新书借阅区),4,3,1
23,100,A区（报刊218）,136,32,104
23,101,B区（报刊222）,152,67,85
23,113,C区(新书借阅区),4,3,1
25,100,A区（报刊218）,136,32,104
25,101,B区（报刊222）,152,66,86
25,113,C区(新书借阅区),4,3,1
27,100,A区（报刊218）,136,33,103
27,101,B区（报刊222）,152,67,85
27,113,C区(新书借阅区),4,3,1
29,100,A区（报刊218）,136,33,103
29,101,B区（报刊222）,152,68,84
29,113,C区(新书借阅区),4,3,1
31,100,A区（报刊218）,136,33,103
31,101,B区（报刊222）,152,68,84
31,113,C区(新书借阅区),4,3,1
33,100,A区（报刊218）,136,36,100
33,101,B区（报刊222）,152,67,85
33,113,C区(新书借阅区),4,3,1
35,100,A区（报刊218）,136,39,97
35,101,B区（报刊222）,152,68,84
35,113,C区(新书借阅区),4,3,1
37,100,A区（报刊218）,136,39,97
37,101,B区（报刊222）,152,70,82
37,113,C区(新书借阅区),4,3,1
39,100,A区（报刊218）,136,40,96
39,101,B区（报刊222）,152,71,81
39,113,C区(新书借阅区),4,3,1
41,100,A区（报刊218）,136,42,94
41,101,B区（报刊222）,152,72,80
41,113,C区(新书借阅区),4,3,1
43,100,A区（报刊218）,136,43,93
43,101,B区（报刊222）,152,72,80
43,113,C区(新书借阅区),4,3,1
45,100,A区（报刊218）,136,43,93
45,101,B区（报刊222）,152,73,79
45,113,C区(新书借阅区),4,3,1
47,100,A区（报刊218）,136,44,92
47,101,B区（报刊222）,152,73,79
47,113,C区(新书借阅区),4,3,1
49,100,A区（报刊218）,136,45,91
49,101,B区（报刊222）,152,73,79
49,113,C区(新书借阅区),4,3,1
51,100,A区（报刊218）,136,45,91
51,101,B区（报刊222）,152,73,79
51,113,C区(新书借阅区),4,3,1
53,100,A区（报刊218）,136,48,88
53,101,B区（报刊222）,152,73,79
53,113,C区(新书借阅区),4,3,1
55,100,A区（报刊218）,136,48,88
55,101,B区（报刊222）,152,74,78
55,113,C区(新书借阅区),4,3,1
57,100,A区（报刊218）,136,48,88
57,101,B区（报刊222）,152,75,77
57,113,C区(新书借阅区),4,3,1
59,100,A区（报刊218）,136,48,88
59,101,B区（报刊222）,152,76,76
59,113,C区(新书借阅区),4,3,1
61,100,A区（报刊218）,136,49,87
61,101,B区（报刊222）,152,76,76
61,113,C区(新书借阅区),4,3,1
63,100,A区（报刊218）,136,50,86
63,101,B区（报刊222）,152,77,75
63,113,C区(新书借阅区),4,3,1
