minute,id,name,TotalCount,UnavailableSpace,AvailableSpace
4,100,A区（报刊218）,136,10,126
4,101,B区（报刊222）,152,15,137
4,113,C区(新书借阅区),4,1,3
228,100,A区（报刊218）,136,30,106
228,101,B区（报刊222）,152,57,95
228,113,C区(新书借阅区),4,0,4
370,100,A区（报刊218）,136,40,96
370,101,B区（报刊222）,152,71,81
370,113,C区(新书借阅区),4,1,3
510,100,A区（报刊218）,136,53,83
510,101,B区（报刊222）,152,90,62
510,113,C区(新书借阅区),4,1,3
621,100,A区（报刊218）,136,43,93
621,101,B区（报刊222）,152,76,76
621,113,C区(新书借阅区),4,1,3
716,100,A区（报刊218）,136,40,96
716,101,B区（报刊222）,152,70,82
716,113,C区(新书借阅区),4,1,3
