minute,id,name,TotalCount,UnavailableSpace,AvailableSpace
1,100,A区（报刊218）,136,29,107
1,101,B区（报刊222）,152,66,86
1,113,C区(新书借阅区),4,3,1
3,100,A区（报刊218）,136,31,105
3,101,B区（报刊222）,152,66,86
3,113,C区(新书借阅区),4,3,1
5,100,A区（报刊218）,136,31,105
5,101,B区（报刊222）,152,66,86
5,113,C区(新书借阅区),4,3,1
7,100,A区（报刊218）,136,34,102
7,101,B区（报刊222）,152,68,84
7,113,C区(新书借阅区),4,3,1
9,100,A区（报刊218）,136,33,103
9,101,B区（报刊222）,152,68,84
9,113,C区(新书借阅区),4,3,1
11,100,A区（报刊218）,136,33,103
11,101,B区（报刊222）,152,67,85
11,113,C区(新书借阅区),4,3,1
13,100,A区（报刊218）,136,33,103
13,101,B区（报刊222）,152,69,83
13,113,C区(新书借阅区),4,3,1
15,100,A区（报刊218）,136,36,100
15,101,B区（报刊222）,152,69,83
15,113,C区(新书借阅区),4,3,1
