minute,id,name,TotalCount,UnavailableSpace,AvailableSpace
1,100,A区（报刊218）,136,28,108
1,101,B区（报刊222）,152,39,113
1,113,C区(新书借阅区),4,4,0
150,100,A区（报刊218）,136,81,55
150,101,B区（报刊222）,152,117,35
150,113,C区(新书借阅区),4,4,0
259,100,A区（报刊218）,136,87,49
259,101,B区（报刊222）,152,119,33
259,113,C区(新书借阅区),4,4,0
353,100,A区（报刊218）,136,103,33
353,101,B区（报刊222）,152,131,21
353,113,C区(新书借阅区),4,4,0
434,100,A区（报刊218）,136,114,22
434,101,B区（报刊222）,152,141,11
434,113,C区(新书借阅区),4,4,0
536,100,A区（报刊218）,136,115,21
536,101,B区（报刊222）,152,139,13
536,113,C区(新书借阅区),4,4,0
