minute,id,name,TotalCount,UnavailableSpace,AvailableSpace
1,100,A区（报刊218）,136,28,108
1,101,B区（报刊222）,152,70,82
1,113,C区(新书借阅区),4,0,4
6,100,A区（报刊218）,136,30,106
6,101,B区（报刊222）,152,71,81
6,113,C区(新书借阅区),4,0,4
13,100,A区（报刊218）,136,39,97
13,101,B区（报刊222）,152,73,79
13,113,C区(新书借阅区),4,0,4
18,100,A区（报刊218）,136,44,92
18,101,B区（报刊222）,152,78,74
18,113,C区(新书借阅区),4,0,4
24,100,A区（报刊218）,136,51,85
24,101,B区（报刊222）,152,82,70
24,113,C区(新书借阅区),4,0,4
30,100,A区（报刊218）,136,52,84
30,101,B区（报刊222）,152,89,63
30,113,C区(新书借阅区),4,0,4
36,100,A区（报刊218）,136,53,83
36,101,B区（报刊222）,152,89,63
36,113,C区(新书借阅区),4,0,4
41,100,A区（报刊218）,136,56,80
41,101,B区（报刊222）,152,95,57
41,113,C区(新书借阅区),4,0,4
47,100,A区（报刊218）,136,58,78
47,101,B区（报刊222）,152,97,55
47,113,C区(新书借阅区),4,0,4
53,100,A区（报刊218）,136,61,75
53,101,B区（报刊222）,152,99,53
53,113,C区(新书借阅区),4,0,4
58,100,A区（报刊218）,136,65,71
58,101,B区（报刊222）,152,102,50
58,113,C区(新书借阅区),4,0,4
64,100,A区（报刊218）,136,71,65
64,101,B区（报刊222）,152,106,46
64,113,C区(新书借阅区),4,0,4
70,100,A区（报刊218）,136,72,64
70,101,B区（报刊222）,152,108,44
70,113,C区(新书借阅区),4,0,4
75,100,A区（报刊218）,136,78,58
75,101,B区（报刊222）,152,111,41
75,113,C区(新书借阅区),4,0,4
82,100,A区（报刊218）,136,78,58
82,101,B区（报刊222）,152,115,37
82,113,C区(新书借阅区),4,0,4
88,100,A区（报刊218）,136,80,56
88,101,B区（报刊222）,152,117,35
88,113,C区(新书借阅区),4,0,4
94,100,A区（报刊218）,136,81,55
94,101,B区（报刊222）,152,121,31
94,113,C区(新书借阅区),4,0,4
100,100,A区（报刊218）,136,82,54
100,101,B区（报刊222）,152,122,30
100,113,C区(新书借阅区),4,0,4
105,100,A区（报刊218）,136,82,54
105,101,B区（报刊222）,152,122,30
105,113,C区(新书借阅区),4,0,4
111,100,A区（报刊218）,136,87,49
111,101,B区（报刊222）,152,126,26
111,113,C区(新书借阅区),4,0,4
117,100,A区（报刊218）,136,87,49
117,101,B区（报刊222）,152,128,24
117,113,C区(新书借阅区),4,0,4
123,100,A区（报刊218）,136,89,47
123,101,B区（报刊222）,152,128,24
123,113,C区(新书借阅区),4,0,4
130,100,A区（报刊218）,136,90,46
130,101,B区（报刊222）,152,128,24
130,113,C区(新书借阅区),4,0,4
135,100,A区（报刊218）,136,92,44
135,101,B区（报刊222）,152,130,22
135,113,C区(新书借阅区),4,0,4
141,100,A区（报刊218）,136,91,45
141,101,B区（报刊222）,152,130,22
141,113,C区(新书借阅区),4,0,4
147,100,A区（报刊218）,136,92,44
147,101,B区（报刊222）,152,131,21
147,113,C区(新书借阅区),4,0,4
152,100,A区（报刊218）,136,92,44
152,101,B区（报刊222）,152,131,21
152,113,C区(新书借阅区),4,0,4
158,100,A区（报刊218）,136,91,45
158,101,B区（报刊222）,152,132,20
158,113,C区(新书借阅区),4,0,4
164,100,A区（报刊218）,136,94,42
164,101,B区（报刊222）,152,132,20
164,113,C区(新书借阅区),4,0,4
175,100,A区（报刊218）,136,96,40
175,101,B区（报刊222）,152,133,19
175,113,C区(新书借阅区),4,0,4
181,100,A区（报刊218）,136,95,41
181,101,B区（报刊222）,152,133,19
181,113,C区(新书借阅区),4,0,4
187,100,A区（报刊218）,136,95,41
187,101,B区（报刊222）,152,133,19
187,113,C区(新书借阅区),4,0,4
192,100,A区（报刊218）,136,94,42
192,101,B区（报刊222）,152,134,18
192,113,C区(新书借阅区),4,0,4
198,100,A区（报刊218）,136,94,42
198,101,B区（报刊222）,152,135,17
198,113,C区(新书借阅区),4,0,4
204,100,A区（报刊218）,136,92,44
204,101,B区（报刊222）,152,134,18
204,113,C区(新书借阅区),4,0,4
210,100,A区（报刊218）,136,91,45
210,101,B区（报刊222）,152,134,18
210,113,C区(新书借阅区),4,0,4
216,100,A区（报刊218）,136,90,46
216,101,B区（报刊222）,152,134,18
216,113,C区(新书借阅区),4,0,4
222,100,A区（报刊218）,136,89,47
222,101,B区（报刊222）,152,135,17
222,113,C区(新书借阅区),4,0,4
227,100,A区（报刊218）,136,89,47
227,101,B区（报刊222）,152,135,17
227,113,C区(新书借阅区),4,0,4
233,100,A区（报刊218）,136,88,48
233,101,B区（报刊222）,152,133,19
233,113,C区(新书借阅区),4,0,4
239,100,A区（报刊218）,136,87,49
239,101,B区（报刊222）,152,131,21
239,113,C区(新书借阅区),4,0,4
244,100,A区（报刊218）,136,90,46
244,101,B区（报刊222）,152,132,20
244,113,C区(新书借阅区),4,0,4
251,100,A区（报刊218）,136,90,46
251,101,B区（报刊222）,152,132,20
251,113,C区(新书借阅区),4,0,4
