minute,id,name,TotalCount,UnavailableSpace,AvailableSpace
4,100,A区（报刊218）,136,29,107
4,101,B区（报刊222）,152,77,75
4,113,C区(新书借阅区),4,0,4
10,100,A区（报刊218）,136,29,107
10,101,B区（报刊222）,152,80,72
10,113,C区(新书借阅区),4,0,4
15,100,A区（报刊218）,136,30,106
15,101,B区（报刊222）,152,84,68
15,113,C区(新书借阅区),4,0,4
21,100,A区（报刊218）,136,30,106
21,101,B区（报刊222）,152,86,66
21,113,C区(新书借阅区),4,0,4
27,100,A区（报刊218）,136,32,104
27,101,B区（报刊222）,152,85,67
27,113,C区(新书借阅区),4,0,4
33,100,A区（报刊218）,136,34,102
33,101,B区（报刊222）,152,87,65
33,113,C区(新书借阅区),4,0,4
39,100,A区（报刊218）,136,41,95
39,101,B区（报刊222）,152,89,63
39,113,C区(新书借阅区),4,0,4
44,100,A区（报刊218）,136,43,93
44,101,B区（报刊222）,152,94,58
44,113,C区(新书借阅区),4,0,4
55,100,A区（报刊218）,136,48,88
55,101,B区（报刊222）,152,101,51
55,113,C区(新书借阅区),4,0,4
61,100,A区（报刊218）,136,49,87
61,101,B区（报刊222）,152,104,48
61,113,C区(新书借阅区),4,0,4
67,100,A区（报刊218）,136,52,84
67,101,B区（报刊222）,152,107,45
67,113,C区(新书借阅区),4,0,4
72,100,A区（报刊218）,136,52,84
72,101,B区（报刊222）,152,110,42
72,113,C区(新书借阅区),4,0,4
78,100,A区（报刊218）,136,51,85
78,101,B区（报刊222）,152,109,43
78,113,C区(新书借阅区),4,0,4
84,100,A区（报刊218）,136,52,84
84,101,B区（报刊222）,152,114,38
84,113,C区(新书借阅区),4,0,4
90,100,A区（报刊218）,136,55,81
90,101,B区（报刊222）,152,115,37
90,113,C区(新书借阅区),4,0,4
