minute,id,name,TotalCount,UnavailableSpace,AvailableSpace
2,100,A区（报刊218）,136,36,100
2,101,B区（报刊222）,152,87,65
2,113,C区(新书借阅区),4,4,0
4,100,A区（报刊218）,136,37,99
4,101,B区（报刊222）,152,87,65
4,113,C区(新书借阅区),4,4,0
6,100,A区（报刊218）,136,37,99
6,101,B区（报刊222）,152,88,64
6,113,C区(新书借阅区),4,4,0
8,100,A区（报刊218）,136,38,98
8,101,B区（报刊222）,152,90,62
8,113,C区(新书借阅区),4,4,0
10,100,A区（报刊218）,136,38,98
10,101,B区（报刊222）,152,91,61
10,113,C区(新书借阅区),4,4,0
12,100,A区（报刊218）,136,41,95
12,101,B区（报刊222）,152,91,61
12,113,C区(新书借阅区),4,4,0
14,100,A区（报刊218）,136,42,94
14,101,B区（报刊222）,152,94,58
14,113,C区(新书借阅区),4,4,0
16,100,A区（报刊218）,136,43,93
16,101,B区（报刊222）,152,96,56
16,113,C区(新书借阅区),4,4,0
20,100,A区（报刊218）,136,44,92
20,101,B区（报刊222）,152,97,55
20,113,C区(新书借阅区),4,4,0
24,100,A区（报刊218）,136,47,89
24,101,B区（报刊222）,152,101,51
24,113,C区(新书借阅区),4,4,0
28,100,A区（报刊218）,136,50,86
28,101,B区（报刊222）,152,102,50
28,113,C区(新书借阅区),4,4,0
30,100,A区（报刊218）,136,50,86
30,101,B区（报刊222）,152,102,50
30,113,C区(新书借阅区),4,4,0
33,100,A区（报刊218）,136,51,85
33,101,B区（报刊222）,152,98,54
33,113,C区(新书借阅区),4,4,0
36,100,A区（报刊218）,136,53,83
36,101,B区（报刊222）,152,98,54
36,113,C区(新书借阅区),4,4,0
38,100,A区（报刊218）,136,53,83
38,101,B区（报刊222）,152,98,54
38,113,C区(新书借阅区),4,4,0
40,100,A区（报刊218）,136,55,81
40,101,B区（报刊222）,152,102,50
40,113,C区(新书借阅区),4,4,0
44,100,A区（报刊218）,136,56,80
44,101,B区（报刊222）,152,106,46
44,113,C区(新书借阅区),4,4,0
46,100,A区（报刊218）,136,59,77
46,101,B区（报刊222）,152,107,45
46,113,C区(新书借阅区),4,4,0
49,100,A区（报刊218）,136,60,76
49,101,B区（报刊222）,152,108,44
49,113,C区(新书借阅区),4,4,0
53,100,A区（报刊218）,136,61,75
53,101,B区（报刊222）,152,111,41
53,113,C区(新书借阅区),4,4,0
57,100,A区（报刊218）,136,63,73
57,101,B区（报刊222）,152,116,36
57,113,C区(新书借阅区),4,4,0
61,100,A区（报刊218）,136,65,71
61,101,B区（报刊222）,152,117,35
61,113,C区(新书借阅区),4,4,0
64,100,A区（报刊218）,136,66,70
64,101,B区（报刊222）,152,121,31
64,113,C区(新书借阅区),4,4,0
68,100,A区（报刊218）,136,66,70
68,101,B区（报刊222）,152,123,29
68,113,C区(新书借阅区),4,4,0
70,100,A区（报刊218）,136,67,69
70,101,B区（报刊222）,152,123,29
70,113,C区(新书借阅区),4,4,0
72,100,A区（报刊218）,136,67,69
72,101,B区（报刊222）,152,123,29
72,113,C区(新书借阅区),4,4,0
74,100,A区（报刊218）,136,68,68
74,101,B区（报刊222）,152,124,28
74,113,C区(新书借阅区),4,4,0
76,100,A区（报刊218）,136,69,67
76,101,B区（报刊222）,152,128,24
76,113,C区(新书借阅区),4,4,0
78,100,A区（报刊218）,136,70,66
78,101,B区（报刊222）,152,128,24
78,113,C区(新书借阅区),4,4,0
80,100,A区（报刊218）,136,70,66
80,101,B区（报刊222）,152,128,24
80,113,C区(新书借阅区),4,4,0
82,100,A区（报刊218）,136,72,64
82,101,B区（报刊222）,152,129,23
82,113,C区(新书借阅区),4,4,0
84,100,A区（报刊218）,136,73,63
84,101,B区（报刊222）,152,129,23
84,113,C区(新书借阅区),4,4,0
86,100,A区（报刊218）,136,74,62
86,101,B区（报刊222）,152,129,23
86,113,C区(新书借阅区),4,4,0
88,100,A区（报刊218）,136,74,62
88,101,B区（报刊222）,152,128,24
88,113,C区(新书借阅区),4,4,0
90,100,A区（报刊218）,136,75,61
90,101,B区（报刊222）,152,128,24
90,113,C区(新书借阅区),4,4,0
92,100,A区（报刊218）,136,75,61
92,101,B区（报刊222）,152,129,23
92,113,C区(新书借阅区),4,4,0
94,100,A区（报刊218）,136,75,61
94,101,B区（报刊222）,152,131,21
94,113,C区(新书借阅区),4,4,0
96,100,A区（报刊218）,136,75,61
96,101,B区（报刊222）,152,131,21
96,113,C区(新书借阅区),4,4,0
98,100,A区（报刊218）,136,75,61
98,101,B区（报刊222）,152,133,19
98,113,C区(新书借阅区),4,4,0
100,100,A区（报刊218）,136,75,61
100,101,B区（报刊222）,152,133,19
100,113,C区(新书借阅区),4,4,0
102,100,A区（报刊218）,136,79,57
102,101,B区（报刊222）,152,133,19
102,113,C区(新书借阅区),4,4,0
104,100,A区（报刊218）,136,81,55
104,101,B区（报刊222）,152,134,18
104,113,C区(新书借阅区),4,4,0
106,100,A区（报刊218）,136,80,56
106,101,B区（报刊222）,152,135,17
106,113,C区(新书借阅区),4,4,0
108,100,A区（报刊218）,136,81,55
108,101,B区（报刊222）,152,135,17
108,113,C区(新书借阅区),4,4,0
110,100,A区（报刊218）,136,81,55
110,101,B区（报刊222）,152,135,17
110,113,C区(新书借阅区),4,4,0
112,100,A区（报刊218）,136,82,54
112,101,B区（报刊222）,152,136,16
112,113,C区(新书借阅区),4,4,0
114,100,A区（报刊218）,136,84,52
114,101,B区（报刊222）,152,137,15
114,113,C区(新书借阅区),4,4,0
116,100,A区（报刊218）,136,85,51
116,101,B区（报刊222）,152,138,14
116,113,C区(新书借阅区),4,4,0
118,100,A区（报刊218）,136,85,51
118,101,B区（报刊222）,152,138,14
118,113,C区(新书借阅区),4,4,0
122,100,A区（报刊218）,136,88,48
122,101,B区（报刊222）,152,139,13
122,113,C区(新书借阅区),4,4,0
126,100,A区（报刊218）,136,89,47
126,101,B区（报刊222）,152,141,11
126,113,C区(新书借阅区),4,4,0
129,100,A区（报刊218）,136,91,45
129,101,B区（报刊222）,152,141,11
129,113,C区(新书借阅区),4,4,0
133,100,A区（报刊218）,136,91,45
133,101,B区（报刊222）,152,141,11
133,113,C区(新书借阅区),4,4,0
137,100,A区（报刊218）,136,91,45
137,101,B区（报刊222）,152,141,11
137,113,C区(新书借阅区),4,4,0
140,100,A区（报刊218）,136,91,45
140,101,B区（报刊222）,152,143,9
140,113,C区(新书借阅区),4,4,0
144,100,A区（报刊218）,136,92,44
144,101,B区（报刊222）,152,143,9
144,113,C区(新书借阅区),4,4,0
146,100,A区（报刊218）,136,93,43
146,101,B区（报刊222）,152,143,9
146,113,C区(新书借阅区),4,4,0
148,100,A区（报刊218）,136,93,43
148,101,B区（报刊222）,152,143,9
148,113,C区(新书借阅区),4,4,0
150,100,A区（报刊218）,136,93,43
150,101,B区（报刊222）,152,144,8
150,113,C区(新书借阅区),4,4,0
152,100,A区（报刊218）,136,93,43
152,101,B区（报刊222）,152,144,8
152,113,C区(新书借阅区),4,4,0
154,100,A区（报刊218）,136,93,43
154,101,B区（报刊222）,152,144,8
154,113,C区(新书借阅区),4,4,0
156,100,A区（报刊218）,136,93,43
156,101,B区（报刊222）,152,145,7
156,113,C区(新书借阅区),4,4,0
158,100,A区（报刊218）,136,93,43
158,101,B区（报刊222）,152,144,8
158,113,C区(新书借阅区),4,4,0
160,100,A区（报刊218）,136,93,43
160,101,B区（报刊222）,152,144,8
160,113,C区(新书借阅区),4,4,0
162,100,A区（报刊218）,136,93,43
162,101,B区（报刊222）,152,144,8
162,113,C区(新书借阅区),4,4,0
164,100,A区（报刊218）,136,93,43
164,101,B区（报刊222）,152,144,8
164,113,C区(新书借阅区),4,4,0
166,100,A区（报刊218）,136,93,43
166,101,B区（报刊222）,152,143,9
166,113,C区(新书借阅区),4,4,0
170,100,A区（报刊218）,136,93,43
170,101,B区（报刊222）,152,144,8
170,113,C区(新书借阅区),4,4,0
172,100,A区（报刊218）,136,94,42
172,101,B区（报刊222）,152,144,8
172,113,C区(新书借阅区),4,4,0
174,100,A区（报刊218）,136,93,43
174,101,B区（报刊222）,152,144,8
174,113,C区(新书借阅区),4,4,0
176,100,A区（报刊218）,136,93,43
176,101,B区（报刊222）,152,144,8
176,113,C区(新书借阅区),4,4,0
178,100,A区（报刊218）,136,92,44
178,101,B区（报刊222）,152,144,8
178,113,C区(新书借阅区),4,4,0
180,100,A区（报刊218）,136,92,44
180,101,B区（报刊222）,152,144,8
180,113,C区(新书借阅区),4,4,0
182,100,A区（报刊218）,136,93,43
182,101,B区（报刊222）,152,145,7
182,113,C区(新书借阅区),4,4,0
184,100,A区（报刊218）,136,93,43
184,101,B区（报刊222）,152,145,7
184,113,C区(新书借阅区),4,4,0
