minute,id,name,TotalCount,UnavailableSpace,AvailableSpace
2,100,A区（报刊218）,136,8,128
2,101,B区（报刊222）,152,8,144
2,113,C区(新书借阅区),4,0,4
159,100,A区（报刊218）,136,19,117
159,101,B区（报刊222）,152,19,133
159,113,C区(新书借阅区),4,0,4
252,100,A区（报刊218）,136,19,117
252,101,B区（报刊222）,152,17,135
252,113,C区(新书借阅区),4,0,4
307,100,A区（报刊218）,136,21,115
307,101,B区（报刊222）,152,21,131
307,113,C区(新书借阅区),4,0,4
351,100,A区（报刊218）,136,23,113
351,101,B区（报刊222）,152,23,129
351,113,C区(新书借阅区),4,0,4
383,100,A区（报刊218）,136,27,109
383,101,B区（报刊222）,152,25,127
383,113,C区(新书借阅区),4,0,4
424,100,A区（报刊218）,136,29,107
424,101,B区（报刊222）,152,33,119
424,113,C区(新书借阅区),4,0,4
459,100,A区（报刊218）,136,29,107
459,101,B区（报刊222）,152,34,118
459,113,C区(新书借阅区),4,0,4
477,100,A区（报刊218）,136,30,106
477,101,B区（报刊222）,152,35,117
477,113,C区(新书借阅区),4,0,4
517,100,A区（报刊218）,136,28,108
517,101,B区（报刊222）,152,37,115
517,113,C区(新书借阅区),4,0,4
