minute,id,name,TotalCount,UnavailableSpace,AvailableSpace
2,100,A区（报刊218）,136,8,128
2,101,B区（报刊222）,152,18,134
2,113,C区(新书借阅区),4,0,4
153,100,A区（报刊218）,136,24,112
153,101,B区（报刊222）,152,36,116
153,113,C区(新书借阅区),4,0,4
244,100,A区（报刊218）,136,25,111
244,101,B区（报刊222）,152,38,114
244,113,C区(新书借阅区),4,0,4
299,100,A区（报刊218）,136,31,105
299,101,B区（报刊222）,152,43,109
299,113,C区(新书借阅区),4,0,4
340,100,A区（报刊218）,136,33,103
340,101,B区（报刊222）,152,52,100
340,113,C区(新书借阅区),4,0,4
360,100,A区（报刊218）,136,35,101
360,101,B区（报刊222）,152,55,97
360,113,C区(新书借阅区),4,0,4
413,100,A区（报刊218）,136,40,96
413,101,B区（报刊222）,152,56,96
413,113,C区(新书借阅区),4,0,4
