minute,id,name,TotalCount,UnavailableSpace,AvailableSpace
83,100,A区（报刊218）,136,26,110
83,101,B区（报刊222）,152,53,99
83,113,C区(新书借阅区),4,0,4
211,100,A区（报刊218）,136,41,95
211,101,B区（报刊222）,152,89,63
211,113,C区(新书借阅区),4,0,4
335,100,A区（报刊218）,136,49,87
335,101,B区（报刊222）,152,111,41
335,113,C区(新书借阅区),4,0,4
420,100,A区（报刊218）,136,62,74
420,101,B区（报刊222）,152,118,34
420,113,C区(新书借阅区),4,0,4
495,100,A区（报刊218）,136,72,64
495,101,B区（报刊222）,152,120,32
495,113,C区(新书借阅区),4,0,4
559,100,A区（报刊218）,136,70,66
559,101,B区（报刊222）,152,111,41
559,113,C区(新书借阅区),4,0,4
636,100,A区（报刊218）,136,58,78
636,101,B区（报刊222）,152,110,42
636,113,C区(新书借阅区),4,0,4
694,100,A区（报刊218）,136,61,75
694,101,B区（报刊222）,152,112,40
694,113,C区(新书借阅区),4,0,4
